borrower_id,borrower_name,anzsic_division,period,revenue,ebitda,ebit,npat,operating_cash_flow,cash,debtors,inventory,current_assets,current_liabilities,total_assets,total_debt,interest_expense,share_capital,net_worth,scheduled_principal,capex,dividends,intangible_assets,lease_fixed_charges,tax_paid
0,Example AU SME Pty Ltd,Manufacturing,FY-2,18000000,2300000,1950000,1100000,1500000,1200000,2700000,1350000,5800000,4000000,12500000,6500000,700000,1200000,2000000,500000,400000,150000,300000,120000,320000
0,Example AU SME Pty Ltd,Manufacturing,FY-1,20000000,2800000,2350000,1350000,1900000,1500000,2900000,1450000,6400000,4200000,13200000,6200000,650000,1300000,2800000,550000,500000,180000,280000,130000,380000
0,Example AU SME Pty Ltd,Manufacturing,FY0,22500000,3150000,2700000,1620000,2250000,1800000,3100000,1550000,7200000,4500000,14000000,6000000,600000,1400000,3500000,600000,600000,200000,250000,140000,450000
1,Atlas Logistics Pty Ltd,Manufacturing,FY-2,26432894,2019366,1687309,635425,1265444,2807451,3979875,1633241,9185797,9720447,22658372,8262830,802078,1683826,4280795,589704,889757,84246,432240,352265,249806
1,Atlas Logistics Pty Ltd,Manufacturing,FY-1,29605796,2685131,2313215,1109028,1619354,3144446,4457604,1829289,10288425,9891090,25378194,7913743,768192,1439458,4662050,536514,1033101,151988,933729,355348,435995
1,Atlas Logistics Pty Ltd,Manufacturing,FY0,33609837,2899027,2476811,1249754,1383164,3569717,5060473,2076691,11679884,12024787,28810472,7579404,735737,1762634,5327467,671098,1322554,183658,791887,273035,491319
2,Peak Group Pty Ltd,Transport & Logistics,FY-2,32971517,4511677,3663040,1862339,2500328,2809796,5427033,3508878,12832118,13555003,21665059,12074589,1101555,1763300,5142061,1292390,813697,240911,922083,194548,699147
2,Peak Group Pty Ltd,Transport & Logistics,FY-1,34966350,4943849,4043869,2189125,2992899,2979794,5755378,3721172,13608483,14280817,22975833,11322222,1032917,2389273,6259464,1130624,740100,363814,383212,427414,821827
2,Peak Group Pty Ltd,Transport & Logistics,FY0,37402875,5059690,4096997,2274546,3796390,3187431,6156424,3980470,14556749,15210393,24576834,10616735,968556,3564436,7572939,895874,958549,354154,268096,359770,853895
3,Coastal Services Pty Ltd,Transport & Logistics,FY-2,9483236,1007582,896125,490816,566411,585868,1617608,986632,3312363,3029647,7276799,2176417,209683,635715,1348788,136019,271618,80977,114835,63594,195626
