metric,actual,rule,pass,weight
Z-score FY0,4.445,>= 1.8,1,0.06
Z-score trend,DOWN,UP or FLAT,0,0.03
Debt / EBITDA,0.7434128689358815,<= 4.0x,1,0.07
DSCR,16.360869565217392,>= 1.20x,1,0.09
ICR (EBIT / Interest),20.87741935483871,>= 2.0x,1,0.07
FCCR,2.150012156576708,>= 1.20x,1,0.07
Current Ratio,1.2101769911504425,>= 1.20x,1,0.04
Quick Ratio,0.34543790051876716,>= 0.80x,0,0.04
Free Cash Flow FY0,379600000,> 0,1,0.09
Tangible Net Worth FY0,527700000,> 0,1,0.07
Merton PD,0.002009812073300777,<= 10%,1,0.07
Working Capital Flag,AMBER,not RED,1,0.05
Selected Sigma,0.55,<= 50%,0,0.03
Core Trend Flags,7,>= 7 of 8,1,0.06
