line_item,FY2023,FY2024
revenue,9626400000,9592400000
ebitda,993200000,884300000
ebit,769000000,647200000
interest_expense,26300000,31000000
npat,524600000,438800000
cash,177300000,317700000
debtors,146500000,135100000
inventory,1040900000,1093600000
current_assets,1399300000,1586300000
current_liabilities,1184900000,1310800000
total_assets,3234900000,3486600000
total_debt,655100000,657400000
intangible_assets,1031400000,1031400000
share_capital,329300000,312300000
net_worth,1419600000,1559100000
operating_cash_flow,716400000,752600000
capex,72000000,74500000
dividends,382700000,298500000
scheduled_principal,0,15000000
lease_fixed_charges,182800000,187600000
tax_paid,282500000,177700000
