topic,status,comment,driver
Revenue trend,POSITIVE,Revenue trend is increasing across the observed periods.,17323000000.0
EBITDA / PBDIT trend,POSITIVE,"EBITDA/PBDIT is improving, consistent with stronger operating earnings.",747800000.0
EBITDA Margin trend,NEGATIVE,EBITDA margin is compressing.,0.04316804248686717
EBIT / Operating Profit trend,POSITIVE,Operating profit is increasing.,507800000.0
Working Capital trend,NEGATIVE,Working Capital trend is negative.,143100000.0
Debt / EBITDA trend,NEGATIVE,"Debt / EBITDA is increasing, indicating rising leverage.",2.528483551751805
Debt / Cash Flow trend,NEGATIVE,"Debt / Cash Flow is increasing, which may stress repayment capacity.",3.507977736549165
Interest Coverage (EBIT / Interest) trend,NEGATIVE,Interest coverage is declining.,4.148692810457517
Current Ratio trend,NEGATIVE,Current Ratio trend is negative.,1.0393715952236835
Operating Cash Flow trend,POSITIVE,"Operating cash flow is improving, consistent with stronger debt-servicing capacity.",539000000.0
Liquidity (Cash in Hand) trend,NEGATIVE,Liquidity (Cash in Hand) trend is negative.,84800000.0
Net Worth / Total Equity trend,POSITIVE,"Net worth is increasing, which is supportive of credit quality.",1625900000.0
Equity Infusion / Share Capital trend,POSITIVE,"Equity infusion is increasing, indicating greater support from shareholders / owners.",1263400000.0
Free Cash Flow trend,POSITIVE,"Free cash flow is improving, supporting internal debt repayment.",229000000.0
Working capital quality,GREEN,Positive WC supported by cash; debt not needed for short-term support,143100000
Merton PD review,GREEN,Very low PD,0.00465621539738942
Z-score review,GREEN,Z-score: 3.040 (SAFE zone),3.04
IC decision,GREEN,APPROVE,B
Risk-based pricing,GREEN,Pricing is within a normal SME risk range.,0.11207708035321005
