ratio,FY2024,FY2025
ebitda_margin,0.04325557426912345,0.04316804248686717
ebit_margin,0.031189512581383073,0.029313629278993246
net_margin,0.016163495135868882,0.016353980257461178
ocf_margin,0.030328548804705764,0.031114702996016857
roa,0.044372369056655855,0.0411050332989945
roe,0.16958987208228934,0.17424195830001846
debt_to_ebitda,2.049978207177103,2.528483551751805
debt_to_cashflow,2.923746373808537,3.507977736549165
debt_to_assets,0.24342695466151404,0.2743430884636033
debt_to_equity,0.9303705657391533,1.162925149148164
net_debt,1313700000.0,1806000000.0
net_leverage,1.908615429318611,2.4150842471249
icr,5.359611231101512,4.148692810457517
ebitda_icr,7.43304535637149,6.109477124183006
dscr,3.405786873676782,1.397459165154265
payback_ratio,1.908615429318611,2.4150842471249
fccr,1.617626321974148,1.159739454094293
current_ratio,1.1293527172031845,1.0393715952236835
quick_ratio,0.5258566978193147,0.4618940185990205
working_capital,373700000.0,143100000.0
debtor_days,32.61566451320982,33.585983951971365
inventory_days,27.454595158492747,32.507186976851585
free_cash_flow,199400000.0,229000000.0
tangible_net_worth,455100000.0,173500000.0
