metric,actual,rule,pass,weight
Z-score FY0,3.04,>= 1.8,1,0.06
Z-score trend,DOWN,UP or FLAT,0,0.03
Debt / EBITDA,2.528483551751805,<= 4.0x,1,0.07
DSCR,1.397459165154265,>= 1.20x,1,0.09
ICR (EBIT / Interest),4.148692810457517,>= 2.0x,1,0.07
FCCR,1.159739454094293,>= 1.20x,0,0.07
Current Ratio,1.0393715952236835,>= 1.20x,0,0.04
Quick Ratio,0.4618940185990205,>= 0.80x,0,0.04
Free Cash Flow FY0,229000000,> 0,1,0.09
Tangible Net Worth FY0,173500000,> 0,1,0.07
Merton PD,0.00465621539738942,<= 10%,1,0.07
Working Capital Flag,GREEN,not RED,1,0.05
Selected Sigma,0.48,<= 50%,1,0.03
Core Trend Flags,7,>= 7 of 8,1,0.06
