line_item,FY2024,FY2025
revenue,15912400000,17323000000
ebitda,688300000,747800000
ebit,496300000,507800000
interest_expense,92600000,122400000
npat,257200000,283300000
cash,97300000,84800000
debtors,1421900000,1594000000
inventory,1196900000,1542800000
current_assets,3262700000,3777700000
current_liabilities,2889000000,3634600000
total_assets,5796400000,6892100000
total_debt,1411000000,1890800000
intangible_assets,1061500000,1452400000
share_capital,1238800000,1263400000
net_worth,1516600000,1625900000
operating_cash_flow,482600000,539000000
capex,135900000,148500000
dividends,147300000,161500000
scheduled_principal,49100000,263300000
lease_fixed_charges,152300000,166000000
tax_paid,131500000,93100000
