ratio,FY2024,FY2025
ebitda_margin,0.06656877894157244,0.07679886579446409
ebit_margin,0.04748761728545103,0.056845301264097224
net_margin,0.030866876827644024,0.03872566496082672
ocf_margin,0.09312793446152244,0.03747345173869436
roa,0.07012350075448266,0.08331128199516528
roe,0.13364648169864732,0.16822206509774304
debt_to_ebitda,0.7022511680588985,0.48348115099076966
debt_to_cashflow,0.5019761582631114,0.9908562543960315
debt_to_assets,0.10620230953961343,0.07988022641584513
debt_to_equity,0.20240810663367656,0.16129408078162286
net_debt,-131624000.0,-125531000.0
net_leverage,-0.9808266950826025,-0.755832926910039
icr,25.285525620707872,32.41877637130802
ebitda_icr,35.44558901215002,43.798259493670884
dscr,22.578232110643416,10.049479166666666
payback_ratio,-0.9808266950826025,-0.755832926910039
fccr,2.1778156442713406,2.3114918372743594
current_ratio,1.6497280031365404,1.5747200057735418
quick_ratio,1.631664067297242,1.550002029760804
working_capital,225377000.0,254832000.0
debtor_days,61.58294868583249,81.25856908281855
inventory_days,0.3494442970065702,0.33722361023060055
free_cash_flow,54682000.0,6038000.0
tangible_net_worth,447351000.0,480413000.0
