line_item,FY2024,FY2025
revenue,2015915000,2162571000
ebitda,134197000,166083000
ebit,95731000,122932000
interest_expense,3786000,3792000
npat,62225000,83747000
cash,225864000,205829000
debtors,340126000,481445000
inventory,1930000,1998000
current_assets,572256000,698234000
current_liabilities,346879000,443402000
total_assets,887363000,1005230000
total_debt,94240000,80298000
intangible_assets,18243000,17423000
share_capital,145781000,150120000
net_worth,465594000,497836000
operating_cash_flow,187738000,81039000
capex,88882000,13879000
dividends,44174000,61122000
scheduled_principal,4529000,4272000
lease_fixed_charges,26229000,24685000
tax_paid,27076000,39102000
