topic,status,comment,driver
Revenue trend,POSITIVE,Revenue trend is increasing across the observed periods.,3331400000.0
EBITDA / PBDIT trend,POSITIVE,"EBITDA/PBDIT is improving, consistent with stronger operating earnings.",643200000.0
EBITDA Margin trend,POSITIVE,EBITDA margin is expanding.,0.19307198174941467
EBIT / Operating Profit trend,POSITIVE,Operating profit is increasing.,335800000.0
Working Capital trend,POSITIVE,Working capital is positive and improving.,212100000.0
Debt / EBITDA trend,POSITIVE,"Debt / EBITDA is trending down, which is supportive for credit.",3.6335509950248754
Debt / Cash Flow trend,NEGATIVE,"Debt / Cash Flow is increasing, which may stress repayment capacity.",5.27919584368647
Interest Coverage (EBIT / Interest) trend,NEGATIVE,Interest coverage is declining.,2.8030050083472453
Current Ratio trend,POSITIVE,Current ratio is improving.,1.2718185313341022
Operating Cash Flow trend,POSITIVE,"Operating cash flow is improving, matching the lectures cash-flow test.",442700000.0
Liquidity (Cash in Hand) trend,NEGATIVE,Liquidity (Cash in Hand) trend is negative.,184900000.0
Net Worth / Total Equity trend,POSITIVE,"Net worth is increasing, which is supportive of credit quality.",3111900000.0
Equity Infusion / Share Capital trend,POSITIVE,"Equity infusion is increasing, indicating greater support from shareholders / owners.",2723900000.0
Free Cash Flow trend,NEGATIVE,Free cash flow is deteriorating.,-243900000.0
Working capital quality,GREEN,Positive WC supported by cash; debt not needed for short-term support,212100000
Merton PD review,GREEN,Low PD,0.04179192521366556
Z-score review,RED,Z-score: 1.482 (DISTRESS zone),1.482
IC decision,GREEN,APPROVE,B
Risk-based pricing,AMBER,Pricing is within a normal SME risk range.,0.1243940751455597
