metric,actual,rule,pass,weight
Z-score FY0,1.482,>= 1.8,0,0.06
Z-score trend,UP,UP or FLAT,1,0.03
Debt / EBITDA,3.6335509950248754,<= 4.0x,1,0.07
DSCR,2.496897913141568,>= 1.20x,1,0.09
ICR (EBIT / Interest),2.8030050083472453,>= 2.0x,1,0.07
FCCR,2.1744421906693714,>= 1.20x,1,0.07
Current Ratio,1.2718185313341022,>= 1.20x,1,0.04
Quick Ratio,0.8881199538638985,>= 0.80x,1,0.04
Free Cash Flow FY0,-243900000,> 0,0,0.09
Tangible Net Worth FY0,2147200000,> 0,1,0.07
Merton PD,0.04179192521366556,<= 10%,1,0.07
Working Capital Flag,GREEN,not RED,1,0.05
Selected Sigma,0.52,<= 50%,0,0.03
Core Trend Flags,10,>= 7 of 8,1,0.06
