line_item,FY2023,FY2024
revenue,2862600000,3331400000
ebitda,551200000,643200000
ebit,274600000,335800000
interest_expense,86800000,119800000
npat,167900000,221900000
cash,191700000,184900000
debtors,410600000,508100000
inventory,25700000,100200000
current_assets,840400000,992400000
current_liabilities,998100000,780300000
total_assets,5672500000,6103400000
total_debt,2037900000,2337100000
intangible_assets,902600000,964700000
share_capital,2719600000,2723900000
net_worth,3032300000,3111900000
operating_cash_flow,392000000,442700000
capex,445000000,539100000
dividends,136800000,147500000
scheduled_principal,334800000,57500000
lease_fixed_charges,65400000,66500000
tax_paid,195200000,52000000
