metric,actual,rule,pass,weight
Z-score FY0,1.832,>= 1.8,1,0.06
Z-score trend,DOWN,UP or FLAT,0,0.03
Debt / EBITDA,2.9602648134609693,<= 4.0x,1,0.07
DSCR,4.9629346141334505,>= 1.20x,1,0.09
ICR (EBIT / Interest),5.159709488169565,>= 2.0x,1,0.07
FCCR,2.068537194232336,>= 1.20x,1,0.07
Current Ratio,1.1719095332288088,>= 1.20x,0,0.04
Quick Ratio,0.9791908975524893,>= 0.80x,1,0.04
Free Cash Flow FY0,320062000,> 0,1,0.09
Tangible Net Worth FY0,-1443168000,> 0,0,0.07
Merton PD,0.007268370496162824,<= 10%,1,0.07
Working Capital Flag,AMBER,not RED,1,0.05
Selected Sigma,0.45,<= 50%,1,0.03
Core Trend Flags,11,>= 7 of 8,1,0.06
