metric,metric_key,slope,status,comment,pass,FY-2,FY2024,FY2025
Revenue,revenue,678042999.9999981,POSITIVE,Revenue trend is increasing across the observed periods.,1,,8967405000.0,9645448000.0
EBITDA / PBDIT,ebitda,87435999.99999969,POSITIVE,"EBITDA/PBDIT is improving, consistent with stronger operating earnings.",1,,1659303000.0,1746739000.0
EBITDA Margin,ebitda_margin,-0.003942495926684322,NEGATIVE,EBITDA margin is compressing.,0,,0.18503714285236364,0.18109464692567934
EBIT / Operating Profit,ebit,49375999.999999896,POSITIVE,Operating profit is increasing.,1,,881998000.0,931374000.0
Working Capital,working_capital,351422999.99999994,POSITIVE,Working capital is positive and improving.,1,,30801000.0,382224000.0
Debt / EBITDA,debt_to_ebitda,0.23902101410666177,NEGATIVE,"Debt / EBITDA is increasing, indicating rising leverage.",0,,2.721243799354307,2.9602648134609693
Debt / Cash Flow,debt_to_cashflow,-0.2266233906141703,POSITIVE,"Debt / Cash Flow is trending down, which is supportive for repayment capacity.",1,,4.214015335339222,3.9873919447250517
Interest Coverage (EBIT / Interest),icr,-0.6679448426067307,NEGATIVE,Interest coverage is declining.,0,,5.827654330776295,5.159709488169565
Current Ratio,current_ratio,0.15864578351625228,POSITIVE,Current ratio is improving.,1,,1.0132637497125563,1.1719095332288088
Operating Cash Flow,operating_cash_flow,225277999.99999973,POSITIVE,"Operating cash flow is improving, consistent with stronger debt-servicing capacity.",1,,1071512000.0,1296790000.0
Liquidity (Cash in Hand),cash,28771999.99999996,POSITIVE,"Cash on hand is increasing, which supports day-to-day liquidity.",1,,645001000.0,673773000.0
Net Worth / Total Equity,net_worth,405874999.9999991,POSITIVE,"Net worth is increasing, which is supportive of credit quality.",1,,7917623000.0,8323498000.0
Equity Infusion / Share Capital,share_capital,1100999.9999995893,POSITIVE,"Equity infusion is increasing, indicating greater support from shareholders / owners.",1,,4140911000.0,4142012000.0
Free Cash Flow,free_cash_flow,327463999.99999994,POSITIVE,"Free cash flow is improving, supporting internal debt repayment.",1,,-7402000.0,320062000.0
