metric,actual,rule,pass,weight
Z-score FY0,2.885,>= 1.8,1,0.06
Z-score trend,UP,UP or FLAT,1,0.03
Debt / EBITDA,1.9047619047619047,<= 4.0x,1,0.07
DSCR,1.875,>= 1.20x,1,0.09
ICR (EBIT / Interest),4.5,>= 2.0x,1,0.07
FCCR,1.7597765363128492,>= 1.20x,1,0.07
Current Ratio,1.6,>= 1.20x,1,0.04
Quick Ratio,1.0888888888888888,>= 0.80x,1,0.04
Free Cash Flow FY0,1450000,> 0,1,0.09
Tangible Net Worth FY0,3250000,> 0,1,0.07
Merton PD,0.05435749792600049,<= 10%,1,0.07
Working Capital Flag,GREEN,not RED,1,0.05
Selected Sigma,0.5,<= 50%,1,0.03
Core Trend Flags,14,>= 7 of 8,1,0.06
